## Dateiname: 1-grams_cp1252.alph.tab
## Alphabet: cp1252.alph
## Modulus: 251
## Text: programmierer.txt
## Anzahl der 1-Gramme: 23769
e 13.53023 101
  12.14607 32
n 7.66124 110
r 7.05962 114
i 6.03307 105
t 4.51428 116
s 4.03887 115
a 4.01784 97
m 3.10068 109
h 2.98288 104
d 2.93660 100
u 2.64630 117
o 2.46960 111
l 2.42753 108
c 2.37705 99
g 2.33918 103
· 1.52299 13
· 1.52299 10
b 1.24111 98
, 1.10228 44
k 0.87509 107
. 0.81198 46
p 0.80777 112
z 0.77832 122
f 0.74887 102
w 0.70680 119
P 0.70680 80
E 0.58900 69
- 0.53852 45
S 0.53010 83
A 0.50907 65
v 0.46699 118
ü 0.41230 252
T 0.31554 84
D 0.31554 68
ß 0.30712 223
M 0.28609 77
C 0.28188 67
y 0.28188 121
ä 0.26926 228
B 0.26505 66
R 0.25664 82
F 0.24822 70
I 0.24822 73
N 0.24402 78
O 0.21457 79
L 0.16829 76
W 0.15146 87
ö 0.14725 246
K 0.14725 75
0 0.13463 48
V 0.12201 86
Z 0.11780 90
U 0.10097 85
G 0.10097 71
H 0.10097 72
j 0.08414 106
J 0.07573 74
) 0.06311 41
( 0.06311 40
/ 0.06311 47
x 0.05890 120
: 0.05890 58
« 0.04628 171
» 0.04628 187
3 0.04628 51
7 0.04207 55
? 0.03786 63
X 0.03786 88
1 0.03366 49
5 0.03366 53
6 0.03366 54
2 0.03366 50
9 0.02524 57
Q 0.02104 81
! 0.01683 33
Ü 0.01683 220
Ä 0.01262 196
' 0.01262 39
; 0.00841 59
8 0.00841 56
> 0.00841 62
< 0.00841 60
q 0.00421 113
# 0.00421 35
± 0.00421 177
= 0.00421 61
4 0.00421 52
Y 0.00421 89
