## Dateiname: 1-grams_gripsholm.alph.tab
## Alphabet: gripsholm.alph
## Modulus: 87
## Text: gripsholm.txt
## Anzahl der 1-Gramme: 236518
  14.96799 32
e 11.60039 101
n 7.77700 110
i 6.46801 105
a 4.86305 97
r 4.81951 114
s 4.61360 115
t 4.19799 116
h 3.94854 104
d 3.46485 100
l 2.64631 108
c 2.64462 99
u 2.63659 117
g 1.90429 103
. 1.85440 46
m 1.75420 109
· 1.65907 13
· 1.65907 10
o 1.46754 111
w 1.35550 119
, 1.22443 44
b 1.10858 98
f 0.90648 102
k 0.78852 107
- 0.75555 45
z 0.69128 122
S 0.50947 83
« 0.50313 171
» 0.50271 187
ü 0.41096 252
D 0.39363 68
p 0.38559 112
v 0.37080 118
ä 0.35727 228
W 0.34374 87
ß 0.31245 223
K 0.28581 75
! 0.24353 33
A 0.24353 65
B 0.21436 66
ö 0.21140 246
M 0.20760 77
H 0.20675 72
? 0.20294 63
P 0.20210 80
F 0.19407 70
I 0.19153 73
G 0.18265 71
E 0.18223 69
L 0.15897 76
U 0.13826 85
N 0.12938 78
T 0.12346 84
: 0.11162 58
j 0.10781 106
; 0.09302 59
Z 0.08794 90
R 0.07737 82
J 0.06934 74
y 0.06342 121
V 0.05539 86
O 0.03298 79
C 0.02410 67
x 0.01268 120
' 0.01184 39
1 0.01015 49
Ü 0.00676 220
2 0.00507 50
Q 0.00423 81
4 0.00423 52
5 0.00423 53
% 0.00338 37
) 0.00296 41
( 0.00296 40
q 0.00254 113
Ö 0.00254 214
8 0.00211 56
0 0.00211 48
å 0.00211 229
6 0.00211 54
Ä 0.00169 196
é 0.00169 233
9 0.00169 57
3 0.00169 51
7 0.00127 55
/ 0.00085 47
§ 0.00042 167
