## Dateiname: 1-grams_prozess.alph.tab
## Alphabet: prozess.alph
## Modulus: 84
## Text: prozess.txt
## Anzahl der 1-Gramme: 456380
  14.42307 32
e 13.15307 101
n 7.86822 110
i 6.08002 105
r 5.59095 114
t 4.63824 116
s 4.35799 115
a 4.26421 97
h 4.23200 104
d 3.57816 100
c 2.77992 99
u 2.68833 117
l 2.63728 108
g 2.32504 103
m 1.85613 109
, 1.74810 44
o 1.58968 111
· 1.34252 13
· 1.34252 10
b 1.30702 98
w 1.21872 119
f 1.11924 102
. 0.94724 46
z 0.91174 122
k 0.85499 107
ü 0.64026 252
v 0.51076 118
ä 0.45927 228
ß 0.41391 223
S 0.39419 83
K 0.36833 75
« 0.32670 171
» 0.32670 187
A 0.29756 65
p 0.26535 112
ö 0.21912 246
B 0.21298 66
G 0.20882 71
E 0.20860 69
D 0.19983 68
W 0.18209 87
H 0.17113 72
M 0.17025 77
F 0.16916 70
I 0.14966 73
T 0.12753 84
j 0.12183 106
V 0.11613 86
? 0.09663 63
P 0.09510 80
L 0.09488 76
Z 0.08524 90
U 0.08107 85
R 0.07888 82
N 0.07231 78
- 0.05850 45
: 0.04864 58
J 0.03900 74
O 0.03659 79
! 0.03068 33
; 0.02060 59
Ü 0.01227 220
› 0.00767 8250
‹ 0.00767 8249
Ä 0.00526 196
q 0.00438 113
Ö 0.00197 214
Q 0.00131 81
C 0.00110 67
y 0.00110 121
x 0.00110 120
) 0.00044 41
( 0.00044 40
1 0.00044 49
é 0.00022 233
9 0.00022 57
8 0.00022 56
7 0.00022 55
0 0.00022 48
3 0.00022 51
4 0.00022 52
5 0.00022 53
6 0.00022 54
2 0.00022 50
