## Dateiname: 1-grams_trapa.alph.tab
## Alphabet: trapa.alph
## Modulus: 59
## Text: trapa.txt
## Anzahl der 1-Gramme: 2291
e 14.88433 101
  13.79310 32
i 8.07508 105
n 6.46006 110
s 4.75775 115
r 4.71410 114
t 4.62680 116
a 4.58315 97
l 3.49192 108
h 3.36098 104
c 2.05151 99
· 1.92056 13
g 1.92056 103
· 1.92056 10
d 1.87691 100
p 1.70231 112
. 1.57137 46
o 1.48407 111
S 1.39677 83
, 1.35312 44
u 1.30947 117
w 1.26582 119
m 1.22217 109
z 1.09123 122
b 1.09123 98
M 0.96028 77
f 0.91663 102
v 0.74203 118
k 0.61109 107
! 0.52379 33
I 0.52379 73
H 0.34919 72
P 0.30554 80
W 0.30554 87
E 0.30554 69
T 0.26189 84
? 0.21825 63
D 0.17460 68
Z 0.17460 90
N 0.13095 78
B 0.13095 66
F 0.13095 70
J 0.13095 74
K 0.13095 75
: 0.13095 58
2 0.13095 50
V 0.08730 86
L 0.08730 76
j 0.08730 106
ß 0.08730 223
5 0.08730 53
O 0.04365 79
y 0.04365 121
G 0.04365 71
1 0.04365 49
ü 0.04365 252
- 0.04365 45
] 0.04365 93
[ 0.04365 91
