## Dateiname: 1-grams_verwandlung.alph.tab
## Alphabet: verwandlung.alph
## Modulus: 69
## Text: verwandlung.txt
## Anzahl der 1-Gramme: 122780
  14.35087 32
e 13.52500 101
n 7.84248 110
r 6.17201 114
i 5.80062 105
t 4.58462 116
s 4.38345 115
a 4.12119 97
h 4.10083 104
d 3.59505 100
u 3.02981 117
c 2.68692 99
l 2.65516 108
g 2.37498 103
m 2.05489 109
o 1.78449 111
, 1.51816 44
· 1.42124 13
· 1.42124 10
w 1.24857 119
b 1.20296 98
f 1.18342 102
z 0.95292 122
k 0.83075 107
ü 0.66135 252
. 0.51067 46
v 0.48379 118
ä 0.47320 228
S 0.42759 83
ß 0.37465 223
G 0.35674 71
p 0.32660 112
ö 0.26063 246
A 0.23131 65
M 0.19466 77
V 0.18570 86
B 0.18325 66
W 0.17755 87
E 0.17674 69
Z 0.17348 90
T 0.15964 84
F 0.15882 70
H 0.15882 72
K 0.15149 75
D 0.14823 68
; 0.14335 59
« 0.10669 171
» 0.10669 187
j 0.10181 106
R 0.08878 82
L 0.08878 76
N 0.08470 78
U 0.07819 85
- 0.07656 45
P 0.06760 80
I 0.05375 73
? 0.04724 63
! 0.03502 33
: 0.02199 58
O 0.01792 79
J 0.01710 74
Ü 0.01629 220
C 0.01222 67
q 0.00570 113
Ä 0.00489 196
Ö 0.00407 214
Q 0.00163 81
x 0.00163 120
' 0.00081 39
