## Dateiname: 2-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 2-Gramme: 1772106
en 3.11883 101_110
n  2.81665 110_32
er 2.37158 101_114
e  2.12025 101_32
ch 2.06760 99_104
·· 1.80514 13_10
 d 1.70441 32_100
de 1.57807 100_101
in 1.48851 105_110
r  1.44230 114_32
te 1.34512 116_101
ei 1.24287 101_105
ie 1.18080 105_101
,  1.17295 44_32
nd 1.12189 110_100
 s 1.11094 32_115
un 1.10411 117_110
t  1.01913 116_32
ge 1.01320 103_101
s  0.93262 115_32
ic 0.88302 105_99
he 0.87715 104_101
   0.83804 32_32
es 0.83110 101_115
 e 0.81773 32_101
 u 0.80751 32_117
ne 0.79967 110_101
 w 0.79679 32_119
 a 0.78963 32_97
d  0.73579 100_32
st 0.73376 115_116
 i 0.72682 32_105
an 0.72214 97_110
se 0.70340 115_101
be 0.65431 98_101
h  0.62840 104_32
el 0.57497 101_108
re 0.57367 114_101
le 0.52294 108_101
si 0.51487 115_105
di 0.49986 100_105
da 0.46261 100_97
al 0.45646 97_108
au 0.45612 97_117
ng 0.45421 110_103
sc 0.44958 115_99
m  0.44851 109_32
 g 0.44439 32_103
as 0.43316 97_115
ht 0.42678 104_116
 h 0.42018 32_104
we 0.41606 119_101
li 0.41442 108_105
is 0.41211 105_115
it 0.40404 105_116
n, 0.40122 110_44
.  0.39625 46_32
ar 0.39095 97_114
ll 0.38813 108_108
 v 0.38525 32_118
 S 0.37763 32_83
 m 0.37644 32_109
 n 0.37221 32_110
on 0.36403 111_110
me 0.35810 109_101
em 0.35060 101_109
nn 0.34513 110_110
ig 0.34067 105_103
ni 0.32797 110_105
at 0.31928 97_116
or 0.30737 111_114
et 0.30704 101_116
 b 0.30495 32_98
ra 0.30489 114_97
hr 0.30309 104_114
ha 0.30072 104_97
nt 0.28932 110_116
wa 0.28559 119_97
vo 0.28018 118_111
eh 0.27820 101_104
n· 0.27809 110_13
us 0.27493 117_115
wi 0.27036 119_105
g  0.26392 103_32
·· 0.26076 10_13
ss 0.25501 115_115
 k 0.24524 32_107
ns 0.24146 110_115
