er 3.88524 101_114
en 3.73935 101_110
ch 2.96809 99_104
te 2.21283 116_101
nd 2.11098 110_100
ei 2.07317 101_105
de 2.05716 100_101
ie 1.87346 105_101
in 1.87079 105_110
es 1.45135 101_115
ge 1.40598 103_101
ne 1.26276 110_101
un 1.24185 117_110
ic 1.18892 105_99
st 1.11198 115_116
an 1.08573 97_110
se 1.08040 115_101
re 0.99811 114_101
be 0.95763 98_101
he 0.95185 104_101
di 0.90470 100_105
ns 0.85978 110_115
au 0.85444 97_117
ss 0.84955 115_115
sc 0.83976 115_99
si 0.83532 115_105
el 0.78550 101_108
ue 0.75436 117_101
le 0.74903 108_101
da 0.74324 100_97
ht 0.73435 104_116
as 0.72634 97_115
ra 0.70588 114_97
ng 0.69610 110_103
ha 0.67163 104_97
eh 0.67030 101_104
ni 0.64450 110_105
ed 0.64050 101_100
nn 0.62404 110_110
rs 0.62048 114_115
em 0.62004 101_109
na 0.59824 110_97
et 0.55465 101_116
rd 0.54976 114_100
al 0.54531 97_108
me 0.54220 109_101
wa 0.53508 119_97
ar 0.53197 97_114
it 0.52797 105_116
ae 0.52574 97_101
ma 0.51551 109_97
ri 0.50884 114_105
is 0.50840 105_115
li 0.50083 108_105
we 0.49060 119_101
eb 0.47859 101_98
ta 0.46525 116_97
nt 0.45369 110_116
us 0.44257 117_115
hr 0.44212 104_114
eg 0.43634 101_103
nu 0.42522 110_117
wi 0.42255 119_105
la 0.41855 108_97
zu 0.41588 122_117
sa 0.41321 115_97
ll 0.41277 108_108
rt 0.39675 114_116
eu 0.39497 101_117
ru 0.39008 114_117
ac 0.36740 97_99
ee 0.35717 101_101
tt 0.35450 116_116
td 0.35450 116_100
on 0.35361 111_110
ti 0.35138 116_105
or 0.35094 111_114
mi 0.34916 109_105
at 0.34115 97_116
ab 0.34071 97_98
rn 0.33849 114_110
hi 0.33315 104_105
ig 0.32470 105_103
ts 0.32425 116_115
lt 0.32114 108_116
nk 0.32069 110_107
hn 0.31447 104_110
vo 0.31358 118_111
ke 0.31358 107_101
ag 0.31313 97_103
fe 0.31313 102_101
uf 0.30824 117_102
nw 0.30779 110_119
ih 0.30691 105_104
tu 0.30424 116_117
ur 0.29623 117_114
ec 0.29534 101_99
so 0.28556 115_111
oe 0.28111 111_101
ef 0.28066 101_102
ck 0.27755 99_107
rg 0.27533 114_103
ew 0.26732 101_119
mm 0.25842 109_109
tz 0.25709 116_122
hl 0.25531 104_108
um 0.25531 117_109
ho 0.25353 104_111
ea 0.25220 101_97
ka 0.25131 107_97
im 0.24241 105_109
nm 0.23974 110_109
rw 0.23796 114_119
gt 0.23618 103_116
tr 0.23574 116_114
nh 0.23040 110_104
nz 0.22862 110_122
sd 0.22684 115_100
rm 0.22595 114_109
ls 0.22506 108_115
nb 0.22373 110_98
ve 0.22240 118_101
ze 0.22017 122_101
am 0.21928 97_109
ro 0.21750 114_111
oc 0.21706 111_99
rk 0.20683 114_107
ol 0.20549 111_108
ut 0.20460 117_116
du 0.20193 100_117
