## Dateiname: 3-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 3-Gramme: 1772105
en  1.59714 101_110_32
er  1.05699 101_114_32
ich 0.76237 105_99_104
 de 0.74742 32_100_101
 un 0.71271 32_117_110
ein 0.68388 101_105_110
nd  0.62626 110_100_32
und 0.58704 117_110_100
ch  0.58665 99_104_32
ie  0.58597 105_101_32
    0.57530 32_32_32
der 0.57226 100_101_114
che 0.46481 99_104_101
den 0.44800 100_101_110
sch 0.43598 115_99_104
in  0.43372 105_110_32
ine 0.41657 105_110_101
 si 0.40917 32_115_105
 di 0.40308 32_100_105
ten 0.39518 116_101_110
cht 0.39050 99_104_116
die 0.38858 100_105_101
 da 0.38801 32_100_97
gen 0.36347 103_101_110
n,  0.36031 110_44_32
n d 0.34964 110_32_100
te  0.33565 116_101_32
 ei 0.33136 32_101_105
en, 0.30579 101_110_44
es  0.30568 101_115_32
nde 0.29163 110_100_101
hen 0.27860 104_101_110
n·· 0.27809 110_13_10
 in 0.26759 32_105_110
, d 0.26629 44_32_100
··· 0.26076 10_13_10
··· 0.26076 13_10_13
lic 0.25252 108_105_99
nen 0.24705 110_101_110
ste 0.24513 115_116_101
 ge 0.23955 32_103_101
 au 0.23503 32_97_117
 vo 0.23464 32_118_111
n s 0.23029 110_32_115
 we 0.22527 32_119_101
em  0.22115 101_109_32
ter 0.21889 116_101_114
ber 0.21861 98_101_114
as  0.21726 97_115_32
sie 0.21562 115_105_101
e·· 0.21483 101_13_10
he  0.20998 104_101_32
 se 0.20529 32_115_101
nge 0.19909 110_103_101
, w 0.19474 44_32_119
ne  0.19322 110_101_32
de  0.19254 100_101_32
 wa 0.19175 32_119_97
n u 0.19135 110_32_117
on  0.19096 111_110_32
ach 0.18983 97_99_104
 er 0.18865 32_101_114
 wi 0.18752 32_119_105
.·· 0.18577 46_13_10
and 0.18498 97_110_100
e d 0.18481 101_32_100
 mi 0.18402 32_109_105
e,  0.18091 101_44_32
 zu 0.17747 32_122_117
das 0.17680 100_97_115
un  0.17657 117_110_32
lle 0.17572 108_108_101
st  0.17561 115_116_32
e s 0.17561 101_32_115
ung 0.17516 117_110_103
it  0.17189 105_116_32
ht  0.17019 104_116_32
 al 0.17008 32_97_108
 an 0.16833 32_97_110
en· 0.16709 101_110_13
ige 0.16551 105_103_101
 be 0.16449 32_98_101
t,  0.16308 116_44_32
von 0.16286 118_111_110
ist 0.16269 105_115_116
ers 0.16178 101_114_115
sen 0.15868 115_101_110
ben 0.15682 98_101_110
ren 0.15501 114_101_110
 ni 0.15321 32_110_105
nic 0.15287 110_105_99
abe 0.15259 97_98_101
ese 0.14920 101_115_101
 ha 0.14869 32_104_97
 so 0.14830 32_115_111
r d 0.14728 114_32_100
 ih 0.14683 32_105_104
mit 0.14469 109_105_116
tte 0.14226 116_116_101
sic 0.14203 115_105_99
n e 0.14085 110_32_101
en. 0.14057 101_110_46
ng  0.14006 110_103_32
war 0.13927 119_97_114
nte 0.13927 110_116_101
all 0.13904 97_108_108
sse 0.13899 115_115_101
, u 0.13865 44_32_117
t d 0.13859 116_32_100
r·· 0.13808 114_13_10
her 0.13780 104_101_114
n a 0.13752 110_32_97
nn  0.13752 110_110_32
auf 0.13650 97_117_102
n i 0.13509 110_32_105
len 0.13419 108_101_110
men 0.13408 109_101_110
n w 0.13402 110_32_119
end 0.13380 101_110_100
Sch 0.13374 83_99_104
ner 0.13374 110_101_114
ere 0.13357 101_114_101
aus 0.13306 97_117_115
dem 0.13114 100_101_109
 he 0.12968 32_104_101
ies 0.12725 105_101_115
eit 0.12719 101_105_116
enn 0.12691 101_110_110
rde 0.12663 114_100_101
e i 0.12584 101_32_105
ing 0.12533 105_110_103
e e 0.12274 101_32_101
lei 0.12228 108_101_105
hte 0.12217 104_116_101
.   0.12217 46_32_32
ede 0.12211 101_100_101
d d 0.12121 100_32_100
ind 0.12099 105_110_100
ern 0.12065 101_114_110
 ic 0.12037 32_105_99
ene 0.11901 101_110_101
 is 0.11833 32_105_115
zu  0.11749 122_117_32
n.  0.11563 110_46_32
hre 0.11563 104_114_101
est 0.11478 101_115_116
e a 0.11427 101_32_97
lte 0.11399 108_116_101
mme 0.11393 109_109_101
··  0.11354 13_10_32
 sc 0.11303 32_115_99
 Sc 0.11280 32_83_99
·   0.11280 10_32_32
ann 0.11275 97_110_110
se  0.11247 115_101_32
an  0.11207 97_110_32
 wo 0.11117 32_119_111
 es 0.11032 32_101_115
··d 0.10998 13_10_100
uch 0.10981 117_99_104
wie 0.10874 119_105_101
sei 0.10874 115_101_105
och 0.10818 111_99_104
ver 0.10806 118_101_114
wei 0.10806 119_101_105
sin 0.10733 115_105_110
er· 0.10671 101_114_13
n S 0.10298 110_32_83
ge  0.10067 103_101_32
ege 0.10011 101_103_101
,·· 0.09999 44_13_10
··· 0.09960 13_10_183
r s 0.09920 114_32_115
 Ge 0.09796 32_71_101
ken 0.09779 107_101_110
so  0.09689 115_111_32
e u 0.09621 101_32_117
 ab 0.09559 32_97_98
t·· 0.09531 116_13_10
hat 0.09514 104_97_116
ens 0.09497 101_110_115
n h 0.09492 110_32_104
uf  0.09441 117_102_32
ar  0.09390 97_114_32
h d 0.09356 104_32_100
n g 0.09350 110_32_103
··s 0.09311 13_10_115
als 0.09294 97_108_115
r e 0.09260 114_32_101
hr  0.09260 104_114_32
ges 0.09226 103_101_115
re  0.09204 114_101_32
nne 0.09119 110_110_101
ent 0.09108 101_110_116
ihr 0.09080 105_104_114
r a 0.09063 114_32_97
ang 0.09001 97_110_103
, a 0.08984 44_32_97
r,  0.08950 114_44_32
, s 0.08871 44_32_115
s·· 0.08854 115_13_10
t e 0.08837 116_32_101
sta 0.08792 115_116_97
 sa 0.08781 32_115_97
rei 0.08747 114_101_105
ell 0.08690 101_108_108
des 0.08679 100_101_115
s d 0.08639 115_32_100
 du 0.08606 32_100_117
e S 0.08606 101_32_83
 ve 0.08577 32_118_101
 St 0.08544 32_83_116
ebe 0.08532 101_98_101
chi 0.08532 99_104_105
isc 0.08470 105_115_99
att 0.08465 97_116_116
ger 0.08448 103_101_114
ls  0.08442 108_115_32
rst 0.08425 114_115_116
hei 0.08386 104_101_105
ehr 0.08335 101_104_114
t s 0.08256 116_32_115
lch 0.08256 108_99_104
sel 0.08171 115_101_108
n v 0.08109 110_32_118
nig 0.08069 110_105_103
alt 0.07945 97_108_116
t w 0.07917 116_32_119
rte 0.07900 114_116_101
wer 0.07872 119_101_114
ass 0.07782 97_115_115
rch 0.07731 114_99_104
le  0.07720 108_101_32
anz 0.07686 97_110_122
oll 0.07663 111_108_108
gte 0.07635 103_116_101
e w 0.07635 101_32_119
d s 0.07573 100_32_115
chl 0.07545 99_104_108
el  0.07539 101_108_32
erd 0.07533 101_114_100
··w 0.07528 13_10_119
wel 0.07528 119_101_108
eis 0.07522 101_105_115
 st 0.07488 32_115_116
n m 0.07466 110_32_109
erg 0.07421 101_114_103
ess 0.07381 101_115_115
e g 0.07347 101_32_103
 hi 0.07302 32_104_105
ehe 0.07285 101_104_101
t u 0.07263 116_32_117
 me 0.07246 32_109_101
eic 0.07223 101_105_99
at  0.07212 97_116_32
rn  0.07184 114_110_32
the 0.07161 116_104_101
wen 0.07138 119_101_110
r u 0.07088 114_32_117
elc 0.07082 101_108_99
r i 0.07071 114_32_105
n k 0.07071 110_32_107
d·· 0.07054 100_13_10
tig 0.07020 116_105_103
agt 0.06862 97_103_116
ig  0.06851 105_103_32
ier 0.06800 105_101_114
ert 0.06783 101_114_116
 th 0.06743 32_116_104
e v 0.06726 101_32_118
··· 0.06710 183_13_10
lie 0.06698 108_105_101
ll  0.06676 108_108_32
 ma 0.06664 32_109_97
gel 0.06664 103_101_108
s s 0.06659 115_32_115
iel 0.06653 105_101_108
··a 0.06653 13_10_97
hie 0.06642 104_105_101
··e 0.06591 13_10_101
 ka 0.06574 32_107_97
s i 0.06574 115_32_105
mer 0.06574 109_101_114
te, 0.06563 116_101_44
 gr 0.06563 32_103_114
 nu 0.06546 32_110_117
was 0.06535 119_97_115
nem 0.06523 110_101_109
age 0.06495 97_103_101
ick 0.06467 105_99_107
esc 0.06467 101_115_99
t i 0.06461 116_32_105
rin 0.06450 114_105_110
hin 0.06427 104_105_110
us  0.06416 117_115_32
ie· 0.06416 105_101_13
ite 0.06377 105_116_101
ete 0.06371 101_116_101
ute 0.06365 117_116_101
ied 0.06348 105_101_100
s e 0.06343 115_32_101
 na 0.06275 32_110_97
ser 0.06179 115_101_114
seh 0.06168 115_101_104
ewe 0.06151 101_119_101
Die 0.06123 68_105_101
sag 0.06106 115_97_103
er, 0.06083 101_114_44
ele 0.06055 101_108_101
cke 0.06038 99_107_101
 Un 0.06038 32_85_110
s,  0.06032 115_44_32
tel 0.06027 116_101_108
zen 0.06021 122_101_110
nd· 0.06021 110_100_13
rau 0.06015 114_97_117
s w 0.06015 115_32_119
ion 0.06010 105_111_110
t a 0.05999 116_32_97
 ga 0.05987 32_103_97
 Di 0.05942 32_68_105
n G 0.05925 110_32_71
e n 0.05908 101_32_110
vor 0.05908 118_111_114
·be 0.05869 183_98_101
etz 0.05863 101_116_122
s a 0.05835 115_32_97
 Be 0.05807 32_66_101
t h 0.05801 116_32_104
um  0.05801 117_109_32
ur  0.05795 117_114_32
een 0.05784 101_101_110
gew 0.05778 103_101_119
auc 0.05773 97_117_99
rge 0.05728 114_103_101
nst 0.05728 110_115_116
 Ma 0.05722 32_77_97
e h 0.05722 101_32_104
wor 0.05705 119_111_114
gan 0.05705 103_97_110
n b 0.05694 110_32_98
dat 0.05643 100_97_116
r S 0.05626 114_32_83
n B 0.05615 110_32_66
r n 0.05587 114_32_110
wir 0.05587 119_105_114
 im 0.05587 32_105_109
a·  0.05570 97_183_32
nnt 0.05564 110_110_116
t.  0.05547 116_46_32
. D 0.05536 46_32_68
··S 0.05536 13_10_83
rsc 0.05502 114_115_99
··u 0.05485 13_10_117
elt 0.05468 101_108_116
eil 0.05468 101_105_108
ech 0.05446 101_99_104
· s 0.05440 183_32_115
nze 0.05440 110_122_101
hab 0.05440 104_97_98
ir  0.05434 105_114_32
hne 0.05429 104_110_101
 no 0.05429 32_110_111
 to 0.05406 32_116_111
ck  0.05395 99_107_32
lan 0.05383 108_97_110
lde 0.05383 108_100_101
tra 0.05378 116_114_97
r g 0.05372 114_32_103
omm 0.05372 111_109_109
n n 0.05350 110_32_110
bei 0.05350 98_101_105
fen 0.05344 102_101_110
ei  0.05333 101_105_32
urc 0.05327 117_114_99
··g 0.05304 13_10_103
man 0.05287 109_97_110
cha 0.05282 99_104_97
 We 0.05282 32_87_101
h·· 0.05259 104_13_10
unt 0.05248 117_110_116
ode 0.05242 111_100_101
r w 0.05208 114_32_119
e m 0.05186 101_32_109
rt  0.05175 114_116_32
tan 0.05175 116_97_110
 la 0.05158 32_108_97
 kl 0.05113 32_107_108
d e 0.05113 100_32_101
kei 0.05096 107_101_105
 bi 0.05084 32_98_105
is  0.05073 105_115_32
tei 0.05073 116_101_105
ate 0.05056 97_116_101
m·· 0.05039 109_13_10
h a 0.05034 104_32_97
n.· 0.05028 110_46_13
e.  0.05017 101_46_32
f d 0.05011 102_32_100
h e 0.04983 104_32_101
tio 0.04943 116_105_111
da· 0.04932 100_97_183
tt  0.04915 116_116_32
e K 0.04915 101_32_75
tzt 0.04915 116_122_116
 Da 0.04887 32_68_97
eck 0.04870 101_99_107
dur 0.04864 100_117_114
nac 0.04859 110_97_99
chw 0.04836 99_104_119
mei 0.04825 109_101_105
ch· 0.04813 99_104_13
n K 0.04808 110_32_75
··D 0.04785 13_10_68
 ·b 0.04763 32_183_98
ide 0.04740 105_100_101
or  0.04734 111_114_32
hal 0.04729 104_97_108
nun 0.04706 110_117_110
·un 0.04706 10_117_110
kle 0.04701 107_108_101
h s 0.04695 104_32_115
imm 0.04695 105_109_109
oer 0.04689 111_101_114
n z 0.04684 110_32_122
h,  0.04678 104_44_32
erk 0.04672 101_114_107
Ges 0.04644 71_101_115
itt 0.04639 105_116_116
 Ha 0.04627 32_72_97
e b 0.04627 101_32_98
 He 0.04627 32_72_101
 do 0.04616 32_100_111
d a 0.04610 100_32_97
noc 0.04599 110_111_99
elb 0.04593 101_108_98
et  0.04576 101_116_32
ns  0.04576 110_115_32
 wu 0.04571 32_119_117
 le 0.04548 32_108_101
bes 0.04548 98_101_115
gro 0.04548 103_114_111
are 0.04520 97_114_101
uer 0.04514 117_101_114
nse 0.04514 110_115_101
oen 0.04492 111_101_110
 re 0.04492 32_114_101
erl 0.04481 101_114_108
d,  0.04481 100_44_32
nke 0.04481 110_107_101
chs 0.04475 99_104_115
 -- 0.04464 32_45_45
geb 0.04435 103_101_98
era 0.04430 101_114_97
ort 0.04424 111_114_116
eni 0.04413 101_110_105
ahr 0.04362 97_104_114
lt  0.04362 108_116_32
art 0.04345 97_114_116
 of 0.04345 32_111_102
vie 0.04328 118_105_101
im  0.04328 105_109_32
 en 0.04317 32_101_110
be  0.04317 98_101_32
!·  0.04311 33_183_32
t m 0.04289 116_32_109
tet 0.04289 116_101_116
str 0.04283 115_116_114
h n 0.04277 104_32_110
·ch 0.04272 183_99_104
n F 0.04260 110_32_70
ch, 0.04255 99_104_44
 Pr 0.04244 32_80_114
run 0.04238 114_117_110
rac 0.04232 114_97_99
in· 0.04227 105_110_13
geh 0.04187 103_101_104
··i 0.04187 13_10_105
 ee 0.04181 32_101_101
kom 0.04176 107_111_109
··h 0.04176 13_10_104
·de 0.04170 10_100_101
r v 0.04165 114_32_118
ss  0.04159 115_115_32
 De 0.04086 32_68_101
d w 0.04080 100_32_119
r h 0.04063 114_32_104
e F 0.04063 101_32_70
ill 0.04046 105_108_108
t g 0.04046 116_32_103
rie 0.04035 114_105_101
e G 0.04035 101_32_71
 Au 0.04035 32_65_117
sz  0.04029 115_122_32
enb 0.04023 101_110_98
 fr 0.04023 32_102_114
g,  0.04018 103_44_32
ieb 0.04001 105_101_98
h w 0.03995 104_32_119
tli 0.03990 116_108_105
, i 0.03973 44_32_105
kan 0.03973 107_97_110
 ko 0.03967 32_107_111
ise 0.03967 105_115_101
, e 0.03961 44_32_101
sze 0.03956 115_122_101
  D 0.03950 32_32_68
e A 0.03944 101_32_65
e M 0.03944 101_32_77
n;  0.03944 110_59_32
dar 0.03905 100_97_114
h i 0.03888 104_32_105
 Gr 0.03888 32_71_114
eln 0.03882 101_108_110
rli 0.03877 114_108_105
 La 0.03877 32_76_97
d i 0.03877 100_32_105
llt 0.03877 108_108_116
n M 0.03871 110_32_77
ihn 0.03854 105_104_110
 Er 0.03849 32_69_114
 je 0.03843 32_106_101
 vi 0.03837 32_118_105
spr 0.03803 115_112_114
  U 0.03798 32_32_85
n H 0.03792 110_32_72
ild 0.03792 105_108_100
gin 0.03792 103_105_110
··v 0.03786 13_10_118
ord 0.03758 111_114_100
tes 0.03753 116_101_115
to  0.03753 116_111_32
erz 0.03747 101_114_122
e z 0.03747 101_32_122
 um 0.03741 32_117_109
sti 0.03724 115_116_105
ett 0.03702 101_116_116
 Wa 0.03691 32_87_97
--  0.03691 45_45_32
inn 0.03685 105_110_110
ati 0.03685 97_116_105
am  0.03679 97_109_32
n A 0.03668 110_32_65
ins 0.03662 105_110_115
hic 0.03657 104_105_99
 Th 0.03645 32_84_104
nsc 0.03640 110_115_99
uen 0.03623 117_101_110
in, 0.03612 105_110_44
asz 0.03612 97_115_122
 od 0.03600 32_111_100
e B 0.03595 101_32_66
 ke 0.03583 32_107_101
e f 0.03578 101_32_102
eut 0.03572 101_117_116
 sp 0.03566 32_115_112
nes 0.03555 110_101_115
rec 0.03549 114_101_99
 Al 0.03544 32_65_108
 li 0.03538 32_108_105
nz  0.03533 110_122_32
ect 0.03533 101_99_116
da  0.03527 100_97_32
las 0.03516 108_97_115
eig 0.03516 101_105_103
cho 0.03510 99_104_111
iss 0.03510 105_115_115
 fo 0.03510 32_102_111
eri 0.03499 101_114_105
t n 0.03499 116_32_110
 Si 0.03493 32_83_105
  · 0.03487 32_32_183
r m 0.03476 114_32_109
m d 0.03470 109_32_100
gef 0.03459 103_101_102
n T 0.03448 110_32_84
e H 0.03442 101_32_72
w·r 0.03442 119_183_114
eid 0.03442 101_105_100
n W 0.03437 110_32_87
erb 0.03437 101_114_98
du  0.03437 100_117_32
set 0.03437 115_101_116
err 0.03425 101_114_114
r K 0.03425 114_32_75
 Ka 0.03420 32_75_97
nur 0.03420 110_117_114
e k 0.03420 101_32_107
erm 0.03414 101_114_109
sol 0.03408 115_111_108
for 0.03403 102_111_114
woh 0.03391 119_111_104
ust 0.03380 117_115_116
hn  0.03329 104_110_32
 gl 0.03329 32_103_108
··b 0.03318 13_10_98
ran 0.03312 114_97_110
bst 0.03312 98_115_116
te. 0.03312 116_101_46
rer 0.03307 114_101_114
n f 0.03301 110_32_102
en; 0.03296 101_110_59
enk 0.03290 101_110_107
st, 0.03267 115_116_44
 mu 0.03262 32_109_117
 Fr 0.03262 32_70_114
n l 0.03262 110_32_108
mir 0.03256 109_105_114
f·r 0.03245 102_183_114
·ge 0.03239 10_103_101
g d 0.03239 103_32_100
s u 0.03239 115_32_117
ina 0.03239 105_110_97
inz 0.03239 105_110_122
t v 0.03233 116_32_118
es· 0.03228 101_115_13
erf 0.03217 101_114_102
ini 0.03217 105_110_105
eru 0.03211 101_114_117
zer 0.03211 122_101_114
n,· 0.03205 110_44_13
 K· 0.03194 32_75_183
nli 0.03194 110_108_105
sam 0.03183 115_97_109
int 0.03177 105_110_116
 Ko 0.03166 32_75_111
ohl 0.03160 111_104_108
 Me 0.03154 32_77_101
·ck 0.03149 183_99_107
fer 0.03149 102_101_114
lbe 0.03149 108_98_101
al  0.03143 97_108_32
me  0.03143 109_101_32
nd, 0.03138 110_100_44
nbe 0.03132 110_98_101
dan 0.03126 100_97_110
ckt 0.03121 99_107_116
s g 0.03115 115_32_103
ien 0.03115 105_101_110
 co 0.03115 32_99_111
 Vo 0.03109 32_86_111
 zw 0.03098 32_122_119
··A 0.03098 13_10_65
ler 0.03092 108_101_114
chr 0.03070 99_104_114
onn 0.03070 111_110_110
 Wi 0.03070 32_87_105
ief 0.03064 105_101_102
dig 0.03059 100_105_103
 tr 0.03053 32_116_114
ade 0.03036 97_100_101
erh 0.03036 101_114_104
 Se 0.03025 32_83_101
kte 0.03025 107_116_101
Ich 0.03013 73_99_104
Und 0.03013 85_110_100
n L 0.03008 110_32_76
uge 0.03002 117_103_101
··n 0.03002 13_10_110
e.· 0.02996 101_46_13
nt  0.02996 110_116_32
of  0.02991 111_102_32
hm  0.02980 104_109_32
Sie 0.02963 83_105_101
amm 0.02963 97_109_109
 h· 0.02951 32_104_183
··m 0.02951 13_10_109
wur 0.02946 119_117_114
 Na 0.02929 32_78_97
r z 0.02912 114_32_122
 w· 0.02906 32_119_183
ze  0.02906 122_101_32
chn 0.02901 99_104_110
··G 0.02901 13_10_71
n D 0.02889 110_32_68
h m 0.02889 104_32_109
rig 0.02889 114_105_103
nie 0.02889 110_105_101
r b 0.02884 114_32_98
Her 0.02884 72_101_114
ihm 0.02884 105_104_109
urd 0.02878 117_114_100
ott 0.02872 111_116_116
 So 0.02861 32_83_111
nis 0.02861 110_105_115
old 0.02861 111_108_100
Ver 0.02844 86_101_114
mal 0.02844 109_97_108
ht, 0.02838 104_116_44
rat 0.02827 114_97_116
ed  0.02822 101_100_32
r.  0.02816 114_46_32
 In 0.02810 32_73_110
 as 0.02805 32_97_115
·te 0.02805 183_116_101
ara 0.02805 97_114_97
 An 0.02799 32_65_110
ngs 0.02799 110_103_115
lag 0.02793 108_97_103
ieg 0.02788 105_101_103
n t 0.02782 110_32_116
·si 0.02776 10_115_105
les 0.02771 108_101_115
ile 0.02765 105_108_101
 ob 0.02765 32_111_98
gle 0.02759 103_108_101
ice 0.02759 105_99_101
rd  0.02759 114_100_32
eme 0.02759 101_109_101
·re 0.02754 183_114_101
erw 0.02754 101_114_119
h u 0.02754 104_32_117
rag 0.02754 114_97_103
·da 0.02754 10_100_97
kam 0.02754 107_97_109
l,  0.02748 108_44_32
eng 0.02743 101_110_103
e L 0.02743 101_32_76
hli 0.02737 104_108_105
em· 0.02737 101_109_13
tri 0.02737 116_114_105
wo  0.02731 119_111_32
lau 0.02720 108_97_117
tun 0.02720 116_117_110
ume 0.02720 117_109_101
r k 0.02714 114_32_107
ut  0.02714 117_116_32
use 0.02714 117_115_101
, · 0.02709 44_32_183
res 0.02709 114_101_115
. · 0.02703 46_32_183
 f· 0.02703 32_102_183
 bl 0.02697 32_98_108
 fe 0.02686 32_102_101
det 0.02686 100_101_116
ft  0.02675 102_116_32
oss 0.02675 111_115_115
geg 0.02663 103_101_103
 Go 0.02658 32_71_111
wis 0.02658 119_105_115
tre 0.02658 116_114_101
·di 0.02652 10_100_105
d u 0.02652 100_32_117
meh 0.02647 109_101_104
m s 0.02647 109_32_115
rke 0.02641 114_107_101
s n 0.02641 115_32_110
zt  0.02635 122_116_32
doc 0.02630 100_111_99
 Re 0.02624 32_82_101
ues 0.02624 117_101_115
ssi 0.02624 115_115_105
 Ei 0.02618 32_69_105
u s 0.02613 117_32_115
son 0.02613 115_111_110
e W 0.02607 101_32_87
d h 0.02607 100_32_104
·nd 0.02601 183_110_100
ts  0.02601 116_115_32
 Sp 0.02601 32_83_112
 Bl 0.02601 32_66_108
g u 0.02596 103_32_117
n o 0.02596 110_32_111
·hr 0.02584 183_104_114
s m 0.02584 115_32_109
e T 0.02579 101_32_84
hme 0.02579 104_109_101
·ei 0.02573 10_101_105
r B 0.02568 114_32_66
wil 0.02568 119_105_108
lun 0.02568 108_117_110
; d 0.02568 59_32_100
Das 0.02562 68_97_115
voe 0.02562 118_111_101
los 0.02556 108_111_115
edd 0.02556 101_100_100
m S 0.02551 109_32_83
hle 0.02551 104_108_101
rme 0.02551 114_109_101
 Le 0.02551 32_76_101
bli 0.02551 98_108_105
·,  0.02551 183_44_32
Str 0.02539 83_116_114
te· 0.02539 116_101_13
·we 0.02539 10_119_101
tze 0.02539 116_122_101
usz 0.02539 117_115_122
h g 0.02534 104_32_103
en! 0.02534 101_110_33
gt  0.02528 103_116_32
 ho 0.02522 32_104_111
··k 0.02522 13_10_107
ld  0.02517 108_100_32
Un  0.02517 85_110_32
chu 0.02511 99_104_117
s h 0.02511 115_32_104
Pro 0.02511 80_114_111
h h 0.02505 104_32_104
g·· 0.02505 103_13_10
 Fe 0.02505 32_70_101
e P 0.02500 101_32_80
zte 0.02500 122_116_101
h·r 0.02489 104_183_114
,·  0.02489 44_183_32
r G 0.02477 114_32_71
. S 0.02477 46_32_83
e t 0.02472 101_32_116
 Do 0.02466 32_68_111
fel 0.02460 102_101_108
t z 0.02455 116_32_122
per 0.02455 112_101_114
 Ja 0.02455 32_74_97
ehn 0.02455 101_104_110
ke  0.02443 107_101_32
 Ve 0.02438 32_86_101
hla 0.02438 104_108_97
h v 0.02432 104_32_118
hti 0.02426 104_116_105
d g 0.02426 100_32_103
nah 0.02426 110_97_104
 Ba 0.02421 32_66_97
teh 0.02421 116_101_104
m e 0.02421 109_32_101
fin 0.02415 102_105_110
rad 0.02415 114_97_100
uns 0.02415 117_110_115
hes 0.02415 104_101_115
e l 0.02415 101_32_108
bis 0.02410 98_105_115
ffe 0.02410 102_102_101
ros 0.02398 114_111_115
e o 0.02393 101_32_111
