## Dateiname: 3-grams_programmierer.alph.tab
## Alphabet: programmierer.alph
## Modulus: 89
## Text: programmierer.txt
## Anzahl der 3-Gramme: 23767
er  1.56099 101_114_32
en  1.47263 101_110_32
ein 0.86254 101_105_110
ier 0.67320 105_101_114
 de 0.66058 32_100_101
der 0.65637 100_101_114
cht 0.65216 99_104_116
amm 0.61430 97_109_109
gra 0.61009 103_114_97
ram 0.61009 114_97_109
ogr 0.60167 111_103_114
rog 0.59747 114_111_103
ich 0.57643 105_99_104
ere 0.57643 101_114_101
Pro 0.57222 80_114_111
 ei 0.52173 32_101_105
ine 0.51332 105_110_101
ten 0.50490 116_101_110
 Pr 0.47966 32_80_114
ie  0.47124 105_101_32
mie 0.46703 109_105_101
mmi 0.46703 109_109_105
sch 0.46283 115_99_104
che 0.45020 99_104_101
hte 0.43337 104_116_101
rer 0.40813 114_101_114
te  0.39971 116_101_32
nd  0.39971 110_100_32
gen 0.37447 103_101_110
ter 0.37026 116_101_114
n,  0.37026 110_44_32
ch  0.36185 99_104_32
in  0.35764 105_110_32
und 0.35343 117_110_100
ste 0.35343 115_116_101
Ech 0.34922 69_99_104
den 0.34502 100_101_110
 un 0.34081 32_117_110
 Ec 0.32398 32_69_99
en, 0.31977 101_110_44
 da 0.31136 32_100_97
n d 0.31136 110_32_100
die 0.30715 100_105_101
 di 0.27770 32_100_105
, d 0.27349 44_32_100
n·· 0.26928 110_13_10
nen 0.26928 110_101_110
 si 0.26507 32_115_105
en. 0.26087 101_110_46
ben 0.25245 98_101_110
nde 0.24824 110_100_101
ung 0.24824 117_110_103
hen 0.24824 104_101_110
em  0.23983 101_109_32
eit 0.23562 101_105_116
ers 0.23562 101_114_115
 zu 0.23562 32_122_117
e P 0.23141 101_32_80
 au 0.22721 32_97_117
e·· 0.22721 101_13_10
.·· 0.22300 46_13_10
ne  0.22300 110_101_32
 vo 0.21879 32_118_111
es  0.21879 101_115_32
on  0.21879 111_110_32
nge 0.21879 110_103_101
ist 0.21879 105_115_116
ren 0.21879 114_101_110
 be 0.21458 32_98_101
 ge 0.21038 32_103_101
 in 0.21038 32_105_110
lic 0.19775 108_105_99
it  0.19355 105_116_32
n.  0.19355 110_46_32
ert 0.18934 101_114_116
n e 0.18934 110_32_101
zu  0.18934 122_117_32
von 0.17672 118_111_110
ige 0.17672 105_103_101
her 0.17672 104_101_114
t,  0.17251 116_44_32
ach 0.17251 97_99_104
r d 0.17251 114_32_100
ute 0.16830 117_116_101
omp 0.16830 111_109_112
as  0.16830 97_115_32
 wi 0.16409 32_119_105
