## Dateiname: 4-grams_prozess.alph.tab
## Alphabet: prozess.alph
## Modulus: 84
## Text: prozess.txt
## Anzahl der 4-Gramme: 456377
icht 0.49214 105_99_104_116
ich  0.47921 105_99_104_32
der  0.41983 100_101_114_32
 die 0.39748 32_100_105_101
eine 0.39288 101_105_110_101
 ein 0.35760 32_101_105_110
 der 0.34621 32_100_101_114
und  0.33788 117_110_100_32
 und 0.32692 32_117_110_100
die  0.31772 100_105_101_32
en,  0.31421 101_110_44_32
cht  0.28814 99_104_116_32
nich 0.28025 110_105_99_104
 nic 0.26184 32_110_105_99
 er  0.26119 32_101_114_32
den  0.26009 100_101_110_32
lich 0.25527 108_105_99_104
sich 0.23665 115_105_99_104
 den 0.22131 32_100_101_110
agte 0.21452 97_103_116_101
ten  0.20509 116_101_110_32
gte  0.20203 103_116_101_32
 zu  0.19742 32_122_117_32
ber  0.19282 98_101_114_32
 sic 0.17990 32_115_105_99
chen 0.17595 99_104_101_110
ein  0.17573 101_105_110_32
en.  0.17376 101_110_46_32
 war 0.17091 32_119_97_114
 K.  0.16960 32_75_46_32
sagt 0.16850 115_97_103_116
 sch 0.16500 32_115_99_104
nen  0.15996 110_101_110_32
 sag 0.15338 32_115_97_103
chte 0.15207 99_104_116_101
 es  0.15141 32_101_115_32
n de 0.15075 110_32_100_101
 sei 0.15031 32_115_101_105
, da 0.15031 44_32_100_97
 in  0.14681 32_105_110_32
 auf 0.14374 32_97_117_102
en·· 0.14286 101_110_13_10
hen  0.14265 104_101_110_32
sein 0.14089 115_101_105_110
das  0.13717 100_97_115_32
gen  0.13673 103_101_110_32
aber 0.13563 97_98_101_114
 das 0.13541 32_100_97_115
 ich 0.13541 32_105_99_104
Sie  0.13410 83_105_101_32
er d 0.13322 101_114_32_100
ine  0.13300 105_110_101_32
 ver 0.13125 32_118_101_114
 sie 0.12950 32_115_105_101
 Sie 0.12512 32_83_105_101
dem  0.12380 100_101_109_32
och  0.12205 111_99_104_32
 abe 0.12117 32_97_98_101
mit  0.11964 109_105_116_32
 mit 0.11898 32_109_105_116
er·· 0.11876 101_114_13_10
sie  0.11854 115_105_101_32
ch d 0.11526 99_104_32_100
daß  0.11460 100_97_223_32
te,  0.11438 116_101_44_32
, sa 0.11350 44_32_115_97
er s 0.11285 101_114_32_115
 hat 0.11131 32_104_97_116
e de 0.11131 101_32_100_101
ung  0.11065 117_110_103_32
e er 0.11022 101_32_101_114
über 0.10912 252_98_101_114
uch  0.10737 117_99_104_32
n, d 0.10693 110_44_32_100
 ist 0.10649 32_105_115_116
ter  0.10583 116_101_114_32
te d 0.10561 116_101_32_100
auf  0.10540 97_117_102_32
nder 0.10452 110_100_101_114
auch 0.10430 97_117_99_104
«, s 0.10408 171_44_32_115
war  0.10364 119_97_114_32
 dem 0.10320 32_100_101_109
 daß 0.10255 32_100_97_223
, de 0.10255 44_32_100_101
e si 0.10189 101_32_115_105
ann  0.09751 97_110_110_32
sche 0.09729 115_99_104_101
inen 0.09729 105_110_101_110
atte 0.09729 97_116_116_101
alle 0.09619 97_108_108_101
nter 0.09575 110_116_101_114
ehen 0.09575 101_104_101_110
iese 0.09510 105_101_115_101
 als 0.09466 32_97_108_115
dies 0.09422 100_105_101_115
in d 0.09356 105_110_32_100
eich 0.09334 101_105_99_104
te e 0.09312 116_101_32_101
enn  0.09312 101_110_110_32
